順位,雀士,合計PT,試合数,平均着順,,更新日,,,,,
1,永井孝典,606.7,29,1.97,,3/3,,,,,
2,内川幸太郎,428.6,30,2.13,,https://kinmaweb.jp/mleague-ranking/2025-regular,,,,,
3,滝沢和典,415.9,27,2.22,,チームてん,,チームあじ,,チームさとし,
4,下石戟,408.3,31,2.16,,"松本吉弘
渋谷ABEMAS",-293.70,"逢川恵夢
EARTH JETS",-35.90,"HIRO柴田
EARTH JETS",-362.80
5,渡辺太,233.3,29,2.31,,"伊達朱里紗
麻雀格闘倶楽部",188.80,"佐々木寿人
麻雀格闘倶楽部",27.00,"永井孝典
EX風林火山",606.70
6,中田花奈,228.4,27,2.3,,"石井一馬
EARTH JETS",148.20,"勝又健志
EX風林火山",-338.20,"鈴木たろう
赤坂ドリブンズ",-287.40
7,竹内元太,213.3,31,2.29,,"竹内元太
セガサミーフェニックス",213.30,"小林剛
U-NEXTパイレーツ",-400.10,"渡辺太
赤坂ドリブンズ",233.30
8,白鳥翔,201.7,31,2.23,,"鈴木優
U-NEXTパイレーツ",-11.20,"浅井堂岐
セガサミーフェニックス",-68.10,"三浦智博
EARTH JETS",-300.60
9,二階堂亜樹,201.5,23,2.35,,"下石戟
BEAST X",408.30,"多井隆晴
渋谷ABEMAS",72.40,"瑞原明奈
U-NEXTパイレーツ",-110.70
10,高宮まり,195.6,26,2.38,,"渋川難波
KADOKAWAサクラナイツ",171.20,"滝沢和典
麻雀格闘倶楽部",415.90,"浅見真紀
赤坂ドリブンズ",-92.30
11,伊達朱里紗,188.8,28,2.36,,"仲林圭
U-NEXTパイレーツ",-219.10,"二階堂亜樹
EX風林火山",201.50,"東城りお
BEAST X",59.70
12,渋川難波,171.2,31,2.35,,"岡田紗佳
KADOKAWAサクラナイツ",-272.00,"堀慎吾
KADOKAWAサクラナイツ",-427.30,"園田賢
赤坂ドリブンズ",168.60
13,園田賢,168.6,31,2.32,,"醍醐大
セガサミーフェニックス",59.90,"鈴木大介
BEAST X",-153.40,"白鳥翔
渋谷ABEMAS",201.70
14,石井一馬,148.2,34,2.38,,合計,393.70,,-706.20,,116.20
15,黒沢咲,106.2,24,2.42,,,,,,,
16,多井隆晴,72.4,35,2.4,,,,,,,
17,醍醐大,59.9,31,2.45,,,,,,,
18,東城りお,59.7,27,2.44,,,,,,,
19,佐々木寿人,27,29,2.41,,,,,,,
20,鈴木優,▲11.2,31,2.65,,,,,,,
21,萩原聖人,▲33.2,28,2.54,,,,,,,
22,逢川恵夢,▲35.9,24,2.46,,,,,,,
23,浅井堂岐,▲68.1,22,2.59,,,,,,,
24,茅森早香,▲77.6,24,2.71,,,,,,,
25,瀬戸熊直樹,▲82.8,25,2.56,,,,,,,
26,浅見真紀,▲92.3,21,2.62,,,,,,,
27,瑞原明奈,▲110.7,26,2.69,,,,,,,
28,鈴木大介,▲153.4,25,2.68,,,,,,,
29,本田朋広,▲161.0,31,2.61,,,,,,,
30,日向藍子,▲185.8,20,2.7,,,,,,,
31,仲林圭,▲219.1,29,2.62,,,,,,,
32,阿久津翔太,▲222.1,24,2.71,,,,,,,
33,岡田紗佳,▲272.0,24,2.79,,,,,,,
34,鈴木たろう,▲287.4,27,2.74,,,,,,,
35,松本吉弘,▲293.7,26,2.77,,,,,,,
36,三浦智博,▲300.6,25,2.8,,,,,,,
37,勝又健志,▲338.2,22,2.77,,,,,,,
38,HIRO柴田,▲362.8,27,2.81,,,,,,,
39,小林剛,▲400.1,24,2.88,,,,,,,
40,堀慎吾,▲427.3,29,2.93,,,,,,,
