,,,,,,
,テン,天収支,あじ,あじ収支,さと,さと収支
2025/12/09,442.1,"1,049.0",-361.8,"-1,363",197.0,314
2025/12/10,,,,,,
2025/12/11,,,,,,
2025/12/12,,,,,,
2025/12/13,,,,,,
2025/12/14,,,,,,
2025/12/15,559.0,"1,399.7",-392.0,"-1,453",110.3,54
2025/12/16,,,,,,
2025/12/17,,,,,,
2025/12/18,,,,,,
2025/12/19,,,,,,
2025/12/20,480.0,"1,527.2",-611.5,"-1,747",44.3,220
2025/12/21,,,,,,
2025/12/22,,,,,,
2025/12/23,,,,,,
2025/12/24,416.9,"1,342.5",-529.5,"-1,497",20.8,154
2025/12/25,627.9,"1,919.5",-538.4,"-1,579",-125.3,-340
2025/12/26,599.8,"1,828.0",-583.5,"-1,722",-44.9,-106
2025/12/27,,,,,,
2025/12/28,,,,,,
2025/12/29,,,,,,
2025/12/30,,,,,,
2025/12/31,,,,,,
2026/01/01,,,,,,
2026/01/02,,,,,,
2026/01/03,,,,,,
2026/01/04,,,,,,
2026/01/05,,,,,,
2026/01/06,,,,,,
2026/01/07,,,,,,
2026/01/08,427.0,"1,299.1",-444.3,"-1,315",-0.8,16
2026/01/09,472.7,"1,454.7",-364.2,"-1,056",-145.1,-399
2026/01/10,,,,,,
2026/01/11,,,,,,
2026/01/12,415.2,"1,367.6",-410.4,"-1,109",-126.8,-258
2026/01/13,,,,,,
2026/01/14,,,,,,
2026/01/15,,,,,,
2026/01/16,280.0,"1,152.8",-400.9,-890,-191.9,-263
2026/01/17,,,,,,
2026/01/18,,,,,,
2026/01/19,183.50,948.4,-350.30,-653,-231.10,-295
2026/01/20,167.00,892.3,-381.00,-752,-177.30,-141
2026/01/21,,,,,,
2026/01/22,335.60,"1,392.1",-510.10,"-1,145",-210.80,-247
2026/01/23,283.00,"1,163.7",-526.10,"-1,264",-71.60,100
2026/01/24,,,,,,
2026/01/25,,,,,,
2026/01/26,,,,,,
2026/01/27,,,,,,
2026/01/28,,,,,,
2026/01/29,107.90,831.9,-540.90,"-1,115",-75.20,283
2026/01/30,,,,,,
2026/01/31,,,,,,
2026/02/01,,,,,,
2026/02/02,234.60,"1,171.0",-488.90,"-1,000",-212.90,-172
2026/02/03,,,,,,
2026/02/04,,,,,,
2026/02/05,268.90,"1,088.1",-576.10,"-1,447",25.80,359
2026/02/06,184.80,876.0,-496.10,"-1,167",-10.30,291
2026/02/07,,,,,,
2026/02/08,,,,,,
2026/02/09,187.10,951.4,-577.70,"-1,343",0.50,392
2026/02/10,242.50,"1,117.6",-597.50,"-1,402",-35.10,285
2026/02/11,,,,,,
2026/02/12,198.20,901.7,-555.00,"-1,358",49.70,456
2026/02/13,319.60,"1,240.6",-600.70,"-1,520",-0.70,280
2026/02/16,,,,,,
2026/02/17,398.70,"1,345.8",-448.00,"-1,194",-100.40,-152
2026/02/20,484.3,"1,558.8",-595.3,"-1,680",5,121
2026/02/23,437.4,"1,439.1",-628.2,"-1,758",63.9,319
2026/02/24,490.5,"1,555.0",-646.6,"-1,856",72.6,301
2026/02/26,431.0,"1,436.3",-639.8,"-1,776",65.5,340
2026/02/27,431.0,"1,482.4",-697.0,"-1,902",76.6,419
2026/03/02,435.0,,-712.4,,48.8,
2026/03/03,393.7,,-706.2,,116.2,
